model,task,task family,success,token consumption,source_run,run_id,round_id,attempt_index,verify_status,input_tokens,output_tokens,worker_id,ledger_path
openai:gpt-5.2-2025-12-11,astropy__astropy-14182,astropy/astropy,true,4235175,codex_direct_gpt52_relaxedcheck_task01_20260402T005306Z,swebench_market_direct_penalty_001_astropy__astropy-14182,1,1,PASS,4187087,48088,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedcheck_task01_20260402T005306Z/swebench_market_direct_penalty_001_astropy__astropy-14182/ledger.jsonl
openai:gpt-5.2-2025-12-11,astropy__astropy-12907,astropy/astropy,true,2265858,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_014_astropy__astropy-12907,1,1,PASS,2240519,25339,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_014_astropy__astropy-12907/ledger.jsonl
openai:gpt-5.2-2025-12-11,astropy__astropy-14182,astropy/astropy,false,5047392,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_001_astropy__astropy-14182,1,1,FAIL,4999404,47988,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_001_astropy__astropy-14182/ledger.jsonl
openai:gpt-5.2-2025-12-11,astropy__astropy-14182,astropy/astropy,true,7724687,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_001_astropy__astropy-14182,3,2,PASS,7679218,45469,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_001_astropy__astropy-14182/ledger.jsonl
openai:gpt-5.2-2025-12-11,astropy__astropy-14365,astropy/astropy,false,6575097,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_021_astropy__astropy-14365,1,1,FAIL,6529740,45357,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_021_astropy__astropy-14365/ledger.jsonl
openai:gpt-5.2-2025-12-11,astropy__astropy-14365,astropy/astropy,false,2767969,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_021_astropy__astropy-14365,3,2,FAIL,2735378,32591,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_021_astropy__astropy-14365/ledger.jsonl
openai:gpt-5.2-2025-12-11,astropy__astropy-14995,astropy/astropy,true,4808481,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_030_astropy__astropy-14995,1,1,PASS,4774166,34315,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_030_astropy__astropy-14995/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-10914,django/django,true,2978223,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_015_django__django-10914,1,1,PASS,2956373,21850,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_015_django__django-10914/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-11099,django/django,true,2734551,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_022_django__django-11099,1,1,PASS,2711360,23191,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_022_django__django-11099/ledger.jsonl
openai:gpt-5.2-2025-12-11,django__django-11133,django/django,true,3033646,codex_direct_gpt52_relaxedfull50_20260402T050426Z,swebench_market_direct_penalty_034_django__django-11133,1,1,PASS,3005122,28524,codex-direct,runs/research/phase2/codex_direct_gpt52_relaxedfull50_20260402T050426Z/swebench_market_direct_penalty_034_django__django-11133/ledger.jsonl
