published_result,published_phase,published_paradigm,source_kind,coverage_note,model,task,task family,success,token consumption,source_run,run_id,round_id,attempt_index,verify_status,input_tokens,output_tokens,worker_id,ledger_path
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,astropy__astropy-14182,astropy/astropy,false,54223,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_001_astropy__astropy-14182,1,1,INFRA,53355,868,gemini-3-pro-preview,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_001_astropy__astropy-14182/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5.2-2025-12-11,astropy__astropy-14182,astropy/astropy,false,47296,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_001_astropy__astropy-14182,3,2,FAIL,45853,1443,gpt-5.2,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_001_astropy__astropy-14182/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,django__django-11964,django/django,true,7671,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_005_django__django-11964,1,1,PASS,7121,550,gemini-3-pro-preview,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_005_django__django-11964/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,django__django-12308,django/django,true,12270,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_007_django__django-12308,1,1,PASS,11722,548,gemini-3-pro-preview,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_007_django__django-12308/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,django__django-14155,django/django,false,28764,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_009_django__django-14155,1,1,FAIL,27468,1296,gemini-3-pro-preview,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_009_django__django-14155/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5-mini-2025-08-07,django__django-14155,django/django,false,25954,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_009_django__django-14155,3,2,FAIL,22674,3280,gpt-5-mini,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_009_django__django-14155/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5-mini-2025-08-07,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,106402,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_002_matplotlib__matplotlib-23299,1,1,FAIL,103045,3357,gpt-5-mini,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_002_matplotlib__matplotlib-23299/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5.2-pro-2025-12-11,matplotlib__matplotlib-23299,matplotlib/matplotlib,false,109304,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_002_matplotlib__matplotlib-23299,3,2,FAIL,103304,6000,gpt-5.2-pro,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_002_matplotlib__matplotlib-23299/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,openai:gpt-5-mini-2025-08-07,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,141669,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_006_matplotlib__matplotlib-23476,1,1,INFRA,138790,2879,gpt-5-mini,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_006_matplotlib__matplotlib-23476/ledger.jsonl
phase2_market_900s,Phase II,market_900s,raw_ledger_exact_partial,Exact model-attempt rows are available only for the surviving 30-task raw-ledger subset; the 20-task next20_market_20260219T074528Z batch is preserved only in summary artifacts.,google:models/gemini-3-pro-preview,matplotlib__matplotlib-23476,matplotlib/matplotlib,false,210250,gateB10_exclfix_t900_20260218T190909Z,swebench_market_direct_penalty_006_matplotlib__matplotlib-23476,3,2,FAIL,204253,5997,gemini-3-pro-preview,runs/research/phase2/gateB10_exclfix_t900_20260218T190909Z/swebench_market_direct_penalty_006_matplotlib__matplotlib-23476/ledger.jsonl
